所屬縣市,2017,2018,2019,2020,2021,2022,2023,2024
台中,81545668,85973268,80711931,77544828,66075138,72092804,59685300,26081735
屏東,13644857,13028692,9254318,12477612,11497994,10652806,12065367,4045220
彰化,248972324,254158645,274912850,302721881,266956540,302053798,238840866,88255109
新北,21758862,21686556,21902713,22699917,18555879,24563762,15394922,4331424
新竹,9135098,17420761,22708688,21154234,14104906,24358531,16883817,4319210
桃園,166972555,159286656,168271999,143880499,113104122,157787984,128928074,45146581
澎湖,16549973,17934277,17335270,14574529,13824987,14171253,22114082,5994311
金門,9944775,10075626,10621224,10464109,9842044,10734988,8495481,3267796
雲林,177249557,173010289,174201796,170760182,152280494,169738477,83114862,27969567
