核准年,件數
91,1142
92,1078
93,1149
94,1131
95,1846
96,2267
97,1845
98,1561
99,1987
100,2249
101,2716
102,3187
103,3556
104,3786
105,3411
106,3414
107,3615
108,4108
109,3409
110,2693
111,2553
112,2308
